entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
30819,80906.0,,0.0,6.72843,28.675456301886793,21.0
30818,56461.0,,1.0,8.20256,9.91034230754717,23.0
80333,80334.0,,0.0,1.16578,5.712461754716981,8.0
3758,56379.0,2.0,2.0,0.104324,2.7025985905660375,2.0
3766,16513.0,1.0,2.0,0.297773,13.50014661320755,14.0
3767,16514.0,2.0,2.0,1.69858,6.230309230188678,7.0
3769,100040591.0,1.0,2.0,0.0900871,0.5938722188679245,1.0
3770,211480.0,,,1.12866,1.3717296037735849,0.0
3772,16516.0,,0.0,0.255449,2.3049627773584906,3.0
3773,16517.0,1.0,0.0,0.392056,7.645329750943394,9.0
3759,16518.0,1.0,2.0,1.672,2.1478175207547165,1.0
3760,16519.0,,1.0,0.562766,5.474987450943398,7.0
3761,16520.0,,,0.179496,9.489936073584909,10.0
3762,16521.0,2.0,0.0,0.59656,2.84491618490566,3.0
3763,16522.0,1.0,2.0,0.0242593,0.8142704145283021,0.0
3764,16523.0,1.0,2.0,12.902,17.836882935849058,30.0
3765,16524.0,,1.0,0.100296,15.641528684905657,13.0
3775,16525.0,,1.0,6.5324,13.056172283018865,17.0
54207,72258.0,,,0.0486248,0.8232638207547172,0.0
56660,210741.0,,,0.114269,3.256359033207548,5.0
56659,217826.0,,1.0,0.310322,0.9937450622641512,1.0
60598,241769.0,,,1.58481,3.316795994339623,3.0
83795,74571.0,,1.0,0.0,0.06490387547169811,0.0
338567,332396.0,0.0,1.0,0.0,0.013242545283018868,0.0
3776,16526.0,,1.0,1.39807,4.630389073584907,3.0
3777,16527.0,1.0,1.0,3.49681,10.840957869811323,9.0
50801,16528.0,1.0,,0.128281,1.9049859905660387,4.0
8645,16529.0,,1.0,5.03729,8.692718852830188,19.0
9424,52150.0,,1.0,5.42968,12.743310660377356,20.0
10089,16530.0,,,1.61615,4.892108509433962,3.0
51305,223604.0,1.0,1.0,0.0627485,2.7838661964150937,2.0
3778,16531.0,1.0,2.0,3.44834,7.801654413207548,14.0
3779,16533.0,0.0,1.0,2.13591,19.34010495094339,14.0
10242,72413.0,,0.0,0.479288,0.8503097471698113,0.0
27094,100502876.0,,,1.21245,1.1925785471698114,0.0
27345,58802.0,,1.0,4.637,11.511087433962263,19.0
3780,84036.0,,0.0,0.273314,6.863329849056602,9.0
3781,140492.0,1.0,1.0,1.34118,2.339602773584905,1.0
3782,140493.0,1.0,1.0,2.11269,3.288399428301886,5.0
3783,16534.0,2.0,2.0,2.41345,8.48586341509434,10.0
3784,16535.0,2.0,2.0,2.03944,12.532632718867927,12.0
10984,63830.0,2.0,1.0,0.446284,0.5745509792452829,0.0
3785,16536.0,1.0,1.0,0.0557464,13.744980498679233,12.0
3786,110862.0,1.0,1.0,0.725566,3.021213237735849,6.0
9132,60613.0,0.0,1.0,3.47553,6.74055288490566,12.0
56479,226922.0,1.0,1.0,0.448457,2.504649477358491,6.0
283518,328424.0,,,1.06734,1.272267754716981,0.0
3787,16538.0,,0.0,0.147829,1.9383555207547167,3.0
3788,16539.0,,,0.314402,0.5309557226415093,0.0
3790,238076.0,,,4.7196,6.410999864150945,9.0
57582,227632.0,1.0,2.0,0.470775,7.189267337735853,9.0
343450,240776.0,1.0,1.0,1.24711,2.2370174281132074,2.0
157855,16532.0,,1.0,0.0,0.23075378981132078,1.0
27012,67498.0,,1.0,0.0134833,0.7952337081132073,1.0
169522,240595.0,1.0,1.0,0.155423,0.40942968490566034,1.0
375616,333088.0,,1.0,0.345817,1.7196983245283024,1.0
284252,106931.0,1.0,2.0,9.0536,12.262955584905665,23.0
83892,330171.0,,1.0,23.9868,32.589456603773584,44.0
147040,216858.0,,0.0,12.5293,16.01662264150944,35.0
115207,239217.0,,1.0,29.5944,38.24856264150942,49.0
253980,233877.0,,1.0,13.5871,15.472974528301886,38.0
65987,233529.0,,,1.5014,2.924110471698113,3.0
79047,233107.0,,1.0,16.3175,19.959778943396223,37.0
57528,383348.0,,1.0,0.123702,0.7186276243396225,0.0
79734,72844.0,1.0,0.0,20.1513,26.698080056603786,41.0
130535,51960.0,,,12.2432,12.422217735849058,35.0
146212,279499.0,,1.0,0.0961652,2.360520462264151,1.0
23510,70382.0,,0.0,28.2577,35.94851169811321,51.0
222658,66989.0,,,26.4985,27.605086226415082,51.0
283219,622320.0,,,8.86061,8.545156415094334,20.0
