	MGI	MP_became
138	MGI:99602	"{'MP:0010768', 'MP:0005376', ""'MP:0000164'"", ""'MP:0001178'"", ""'MP:0004020'"", 'MP:0005386', 'MP:0005377', ""'MP:0001967'"", 'MP:0005371', ""'MP:0002427'"", ""'MP:0004393'"", 'MP:0005388', ""'MP:0000042'"", ""'MP:0011087'"", 'MP:0005382', 'MP:0005381', ""'MP:0004403'"", 'MP:0005387', ""'MP:0004734'"", 'MP:0005390', 'MP:0005370', 'MP:0005378', ""'MP:0003631"", ""MP:0000111'"", 'MP:0005385', ""'MP:0001175'"", ""'MP:0011967'"", 'MP:0005369', ""'MP:0004746'""}"
139	MGI:2388270	{'MP:0005376'}
140	MGI:1925868	{'MP:0005386'}
141	MGI:2153589	{'MP:0005378'}
142	MGI:87870	{'nan'}
143	MGI:87871	{'MP:0010768', 'MP:0005380', 'MP:0005376', 'MP:0005386', 'MP:0005378'}
144	MGI:109182	{'nan'}
145	MGI:2181074	{'MP:0010768', 'MP:0005376', 'MP:0005397', 'MP:0005386'}
146	MGI:1914381	{'nan'}
147	MGI:1921409	{'MP:0005384', 'MP:0005387', 'MP:0005389', 'MP:0003631', 'MP:0005376', 'MP:0005390', 'MP:0005370', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005391', 'MP:0005397'}
148	MGI:1919732	{'nan'}
149	MGI:1925495	{'nan'}
150	MGI:1919717	{'nan'}
151	MGI:3584519	{'nan'}
152	MGI:87873	{'MP:0010768', 'MP:0005384', 'MP:0001186', 'MP:0005367', 'MP:0005389', 'MP:0010771', 'MP:0005376', 'MP:0005386', 'MP:0005378', 'MP:0005379', 'MP:0005377', 'MP:0005382', 'MP:0002006', 'MP:0005381', 'MP:0005371'}
153	MGI:87874	{'MP:0010768', 'MP:0005380', 'MP:0005384', 'MP:0005387', 'MP:0005367', 'MP:0005389', 'MP:0005376', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005379', 'MP:0005397', 'MP:0005385'}
154	MGI:1917258	{'MP:0010768', 'MP:0005384', 'MP:0005387', 'MP:0001186', 'MP:0005388', 'MP:0010771', 'MP:0005376', 'MP:0005369', 'MP:0005378', 'MP:0005391', 'MP:0005397', 'MP:0005381', 'MP:0005385'}
155	MGI:3644400	{'nan'}
156	MGI:2181962	{'MP:0005384', 'MP:0005387', 'MP:0010771', 'MP:0005376', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005379', 'MP:0005391', 'MP:0005397'}
157	MGI:1920932	{'MP:0005376'}
158	MGI:1913440	{'MP:0003631', 'MP:0005376', 'MP:0005386'}
159	MGI:87876	{'MP:0010768', 'MP:0005387', 'MP:0005388', 'MP:0005389', 'MP:0003631', 'MP:0005376', 'MP:0005369', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005377', 'MP:0005391', 'MP:0005382', 'MP:0005397', 'MP:0005385'}
160	MGI:1891824	{'nan'}
161	MGI:1097689	{'MP:0005376', 'MP:0005390', 'MP:0005387'}
162	MGI:1891697	{'MP:0010771', 'MP:0005387'}
163	MGI:109562	{'MP:0010768', 'MP:0005387', 'MP:0005388', 'MP:0005376', 'MP:0005369', 'MP:0005386', 'MP:0005378', 'MP:0005391', 'MP:0005397', 'MP:0005385'}
164	MGI:2181676	{'MP:0005384', 'MP:0005387', 'MP:0005376', 'MP:0005378', 'MP:0005397'}
165	MGI:103251	{'MP:0010768'}
166	MGI:2386323	{'MP:0005376', 'MP:0005390', 'MP:0005397'}
167	MGI:87879	{'MP:0010768', 'MP:0005387', 'MP:0005376', 'MP:0005370', 'MP:0005391', 'MP:0005397', 'MP:0005381'}
168	MGI:87880	{'MP:0010768'}
169	MGI:103206	{'MP:0005397', 'MP:0005387', 'MP:0005386'}
170	MGI:1349396	{'nan'}
171	MGI:2159605	"{'MP:0005397', ""'MP:0005386"", ""MP:0005397'"", 'MP:0005386'}"
172	MGI:2159619	"{'MP:0005367', ""MP:0005391'"", 'MP:0005386', 'MP:0005378', 'MP:0005391', ""'MP:0005367""}"
173	MGI:2384969	"{'MP:0005376', 'MP:0005397', ""MP:0005397'"", ""'MP:0005376""}"
174	MGI:1913736	{'MP:0005384', 'MP:0005387', 'MP:0005376', 'MP:0005370', 'MP:0005386', 'MP:0005375', 'MP:0005378'}
175	MGI:1921406	{'MP:0005385', 'MP:0005369', 'MP:0005386'}
176	MGI:1914084	{'MP:0005376', 'MP:0005370', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005381'}
177	MGI:1349396	{'nan'}
178	MGI:2159605	"{'MP:0005397', ""'MP:0005386"", ""MP:0005397'"", 'MP:0005386'}"
179	MGI:2159619	"{'MP:0005367', ""MP:0005391'"", 'MP:0005386', 'MP:0005378', 'MP:0005391', ""'MP:0005367""}"
180	MGI:2384969	"{'MP:0005376', 'MP:0005397', ""MP:0005397'"", ""'MP:0005376""}"
181	MGI:2159621	{'nan'}
182	MGI:1921287	{'nan'}
183	MGI:1917275	{'MP:0003631', 'MP:0005376', 'MP:0005370', 'MP:0005386', 'MP:0005375', 'MP:0005378'}
184	MGI:2158201	{'nan'}
185	MGI:1928940	{'nan'}
186	MGI:1928939	{'nan'}
