	MGI	MP
125	MGI:95489	MP:0001943,MP:0001183,MP:0004634,MP:0008844,MP:0003652,MP:0003120,MP:0000324,MP:0005375,MP:0002754,MP:0001175,MP:0010900,MP:0008672,MP:0002083,MP:0000276,MP:0006278,MP:0030799,MP:0010919,MP:0000274,MP:0003140,MP:0008054,MP:0002270,MP:0009871,MP:0010386,MP:0002060,MP:0004127,MP:0004509,MP:0010522,MP:0009545,MP:0008568,MP:0006120,MP:0002267,MP:0001614,MP:0005508,MP:0000272,MP:0005501,MP:0001625,MP:0010903,MP:0001914,MP:0005385,MP:0003921,MP:0010918,MP:0001198,MP:0010869,MP:0005390,MP:0001243,MP:0005244,MP:0011085,MP:0002964,MP:0005378,MP:0001861,MP:0004389,MP:0000150,MP:0003141,MP:0004707,MP:0004794,MP:0002543,MP:0008419,MP:0005397,MP:0000538,MP:0003725,MP:0001958,MP:0010996,MP:0010895,MP:0005275,MP:0001954,MP:0002433,MP:0008097,MP:0010922,MP:0010915,MP:0004355,MP:0000266,MP:0010771,MP:0004695,MP:0008438,MP:0009872,MP:0006432,MP:0010937,MP:0009866,MP:0003924,MP:0010139,MP:0006027,MP:0000286,MP:0002280,MP:0010661,MP:0002764,MP:0001176,MP:0010876,MP:0005371,MP:0005386,MP:0001200,MP:0005387,MP:0002279,MP:0004686,MP:0008711,MP:0009932,MP:0001191,MP:0001762,MP:0010908,MP:0003923,MP:0009862,MP:0009873,MP:0001245,MP:0000160,MP:0005617,MP:0010904,MP:0005014,MP:0001179,MP:0031157,MP:0001182,MP:0003920,MP:0003705,MP:0004007,MP:0005376,MP:0003631,MP:0010483,MP:0000439,MP:0004593,MP:0000063,MP:0005388,MP:0004044,MP:0000163,MP:0003211,MP:0004359,MP:0001505,MP:0001267,MP:0010768,MP:0004671,MP:0005369,MP:0004735,MP:0005379,MP:0005503,MP:0005243
126	MGI:2156389	
127	MGI:2685418	MP:0010412,MP:0011252,MP:0000644,MP:0005388,MP:0005385,MP:0005384,MP:0000531,MP:0011649,MP:0005386,MP:0005370,MP:0005397,MP:0000694,MP:0004133,MP:0000598,MP:0005387,MP:0005378,MP:0010768,MP:0000284,MP:0005391,MP:0005376
128	MGI:3642817	
129	MGI:1932515	MP:0005386
130	MGI:893584	MP:0005387,MP:0005378,MP:0005385,MP:0010768,MP:0005391,MP:0005390,MP:0005375,MP:0005397,MP:0005376
131	MGI:2441683	MP:0005376,MP:0005397
132	MGI:1353593	MP:0005386,MP:0005397,MP:0010768,MP:0005376,MP:0005387,MP:0005378,MP:0005385
133	MGI:1931352	
134	MGI:1921643	
135	MGI:99913	MP:0001438,MP:0001954,MP:0010936,MP:0005382,MP:0002135,MP:0005381,MP:0005384,MP:0000462,MP:0005367,MP:0005390,MP:0010771,MP:0030460,MP:0011085,MP:0009675,MP:0005378,MP:0001849,MP:0011045,MP:0004273,MP:0001209,MP:0005377,MP:0000540,MP:0001190,MP:0000063,MP:0005388,MP:0005358,MP:0005371,MP:0002060,MP:0005386,MP:0001222,MP:0010124,MP:0000578,MP:0001874,MP:0011160,MP:0009827,MP:0005387,MP:0010768,MP:0001208,MP:0003089,MP:0030423
136	MGI:1347479	MP:0005382,MP:0010768,MP:0005381,MP:0005378,MP:0005369,MP:0005390,MP:0005391,MP:0005386,MP:0005376,MP:0003631
137	MGI:102704	MP:0005386,MP:0005375,MP:0005376,MP:0010768,MP:0005378,MP:0003631
138	MGI:1916503	MP:0005386,MP:0005385,MP:0005378,MP:0005384
139	MGI:3030795	
140	MGI:1915882	MP:0005391,MP:0005386,MP:0005397,MP:0002006,MP:0005387,MP:0005378,MP:0005385
141	MGI:3641869	
142	MGI:2449929	MP:0005387,MP:0005381,MP:0005378,MP:0005384,MP:0005388,MP:0010768,MP:0005386,MP:0005397,MP:0005376
143	MGI:1927338	MP:0005391,MP:0005386,MP:0003631,MP:0005378
144	MGI:1919425	MP:0001186,MP:0003354,MP:0002135,MP:0008918,MP:0003632,MP:0005384,MP:0005385,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0000689,MP:0010771,MP:0008450,MP:0000278,MP:0000598,MP:0005387,MP:0005369,MP:0005391,MP:0005058,MP:0006082,MP:0005376,MP:0003631
145	MGI:99500	MP:0005391,MP:0005376,MP:0005385
146	MGI:1929899	MP:0005386,MP:0010768
147	MGI:98304	
148	MGI:1914721	MP:0005380,MP:0010768
149	MGI:98633	
150	MGI:1339752	MP:0005040,MP:0012109,MP:0005384,MP:0005385,MP:0005375,MP:0001175,MP:0005380,MP:0010771,MP:0008245,MP:0001265,MP:0002442,MP:0003718,MP:0011086,MP:0001732,MP:0004800,MP:0009020,MP:0005378,MP:0005185,MP:0009011,MP:0001861,MP:0003356,MP:0001928,MP:0001921,MP:0002161,MP:0005376,MP:0012098,MP:0011090,MP:0002270,MP:0009006,MP:0004856,MP:0001132,MP:0011101,MP:0005388,MP:0001712,MP:0001715,MP:0005386,MP:0005397,MP:0001120,MP:0005399,MP:0004200,MP:0005027,MP:0010998,MP:0005389,MP:0005387,MP:0010768,MP:0001958,MP:0000688,MP:0002224,MP:0001935,MP:0005379,MP:0003799,MP:0002412,MP:0004201
151	MGI:3031346	
152	MGI:2176229	
153	MGI:1930788	MP:0005390,MP:0005375,MP:0005376,MP:0005378
154	MGI:1345181	MP:0005389,MP:0005387,MP:0005378,MP:0005384,MP:0005391,MP:0005386,MP:0005376,MP:0003631
155	MGI:2384296	MP:0005386,MP:0005381,MP:0005389
156	MGI:1277216	
157	MGI:1918937	
158	MGI:98296	MP:0005387,MP:0005378,MP:0005384,MP:0005385,MP:0005369,MP:0010768,MP:0005386,MP:0005379,MP:0005380,MP:0005397,MP:0003631
159	MGI:1926341	MP:0005376,MP:0005384
160	MGI:3045221	MP:0005387,MP:0005397
161	MGI:101911	MP:0005390,MP:0005387,MP:0005397
162	MGI:1915775	MP:0001262,MP:0005382,MP:0002427,MP:0008489,MP:0002764,MP:0005352,MP:0005381,MP:0005384,MP:0005371,MP:0005385,MP:0005386,MP:0003109,MP:0000547,MP:0004355,MP:0005370,MP:0005397,MP:0004359,MP:0005390,MP:0010771,MP:0010124,MP:0005389,MP:0030081,MP:0005387,MP:0005378,MP:0010768,MP:0000433,MP:0010879,MP:0004351,MP:0002765,MP:0001258,MP:0005379,MP:0011110,MP:0003631
163	MGI:1930197	
164	MGI:1351867	MP:0010768,MP:0005376
165	MGI:1922805	
166	MGI:107610	
167	MGI:1278325	
168	MGI:1933148	MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005378,MP:0005385
169	MGI:2445092	MP:0005389,MP:0005379,MP:0005376,MP:0003631,MP:0005384
170	MGI:2179203	
171	MGI:1917505	MP:0005386
172	MGI:2135945	MP:0005389,MP:0005384
173	MGI:2673967	
174	MGI:97899	
175	MGI:2444256	
176	MGI:1349393	
177	MGI:1915517	
178	MGI:1919247	MP:0005377,MP:0005382,MP:0005388,MP:0005385,MP:0005371,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005380,MP:0005390,MP:0010771,MP:0005387,MP:0005378,MP:0010768,MP:0005369,MP:0005391,MP:0005379,MP:0005376,MP:0003631
179	MGI:96161	
180	MGI:1924165	MP:0005389
181	MGI:1917384	
182	MGI:107537	MP:0001262,MP:0001762,MP:0006069,MP:0002135,MP:0008195,MP:0003632,MP:0005241,MP:0001426,MP:0005384,MP:0005618,MP:0005367,MP:0005370,MP:0005627,MP:0011079,MP:0004275,MP:0006007,MP:0000598,MP:0000788,MP:0002083,MP:0003566,MP:0005378,MP:0000812,MP:0001325,MP:0002161,MP:0005376,MP:0003631,MP:0001406,MP:0002183,MP:0005277,MP:0003313,MP:0002376,MP:0003733,MP:0000875,MP:0009940,MP:0003354,MP:0008997,MP:0002451,MP:0000745,MP:0001326,MP:0002988,MP:0005386,MP:0000807,MP:0001513,MP:0008056,MP:0005397,MP:0002906,MP:0002152,MP:0020448,MP:0001407,MP:0005389,MP:0001327,MP:0002182,MP:0005584,MP:0005387,MP:0010768,MP:0005391,MP:0000607,MP:0005058,MP:0001405
183	MGI:1916684	
184	MGI:99828	MP:0005387,MP:0005390,MP:0005376,MP:0005371
185	MGI:1921579	MP:0005387,MP:0005376,MP:0005381,MP:0005384
186	MGI:1858916	
187	MGI:1913332	MP:0005379,MP:0005378,MP:0005384,MP:0005369,MP:0005375,MP:0005386,MP:0005370,MP:0005376
188	MGI:2676831	MP:0002006,MP:0005387,MP:0005378,MP:0010768,MP:0005390,MP:0005379,MP:0005397,MP:0005376
189	MGI:108247	MP:0005382,MP:0010768,MP:0005378,MP:0005384,MP:0005371,MP:0005369,MP:0005385,MP:0005370,MP:0005380,MP:0005376,MP:0003631
190	MGI:1096867	MP:0005389,MP:0005382,MP:0010768,MP:0005378,MP:0005384,MP:0005371,MP:0005388,MP:0005386,MP:0005367,MP:0005379,MP:0003631
191	MGI:1934031	MP:0005389,MP:0005386,MP:0005367,MP:0005376,MP:0010768,MP:0005378,MP:0003631
192	MGI:2444782	
193	MGI:106022	
194	MGI:1919272	
195	MGI:3650329	
196	MGI:3040687	
197	MGI:1333882	MP:0002006,MP:0005391,MP:0005385
198	MGI:87931	MP:0005387
199	MGI:96418	MP:0005377,MP:0005382,MP:0005388,MP:0005384,MP:0005385,MP:0005371,MP:0005375,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005390,MP:0010771,MP:0010768,MP:0005378,MP:0005387,MP:0005369,MP:0005391,MP:0005376,MP:0003631
200	MGI:2442832	MP:0005377,MP:0002622,MP:0006288,MP:0005384,MP:0011061,MP:0003308,MP:0004736,MP:0004522,MP:0000031,MP:0013203,MP:0006325,MP:0011966,MP:0011967,MP:0011062,MP:0003631,MP:0004300
201	MGI:88144	MP:0005386,MP:0005387,MP:0005397
202	MGI:1196294	MP:0010771,MP:0005370,MP:0005378,MP:0005385,MP:0005387,MP:0005388,MP:0010768,MP:0005386,MP:0005379,MP:0005380,MP:0005397,MP:0003631
203	MGI:1916221	MP:0010768,MP:0005376
204	MGI:1202065	MP:0001186,MP:0005389,MP:0010771,MP:0010768,MP:0005384,MP:0005379,MP:0005380,MP:0005376,MP:0003631
205	MGI:3698433	MP:0005376,MP:0005384
206	MGI:1890216	MP:0005387,MP:0005389,MP:0005376,MP:0005397
207	MGI:104633	MP:0005377,MP:0005381,MP:0005384,MP:0005385,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005390,MP:0010771,MP:0005389,MP:0005387,MP:0005378,MP:0010768,MP:0005391,MP:0005379,MP:0005376,MP:0003631
208	MGI:3644477	
209	MGI:99580	
210	MGI:4834330	
211	MGI:98888	MP:0005389,MP:0005378,MP:0005384,MP:0005391,MP:0005375,MP:0005386,MP:0005379,MP:0005376,MP:0003631
212	MGI:1924712	MP:0005391,MP:0005386,MP:0005378,MP:0005397,MP:0005387,MP:0005388,MP:0005376
213	MGI:1330840	
214	MGI:1202890	MP:0005389,MP:0005387,MP:0005381,MP:0005385,MP:0005384,MP:0005388,MP:0005391,MP:0010768,MP:0005379,MP:0005397,MP:0005376,MP:0010771
215	MGI:3030063	
216	MGI:1923820	MP:0005397,MP:0005387,MP:0003631,MP:0005379
217	MGI:1924647	
218	MGI:2135604	
219	MGI:2450757	MP:0001485,MP:0005377,MP:0004405,MP:0004466,MP:0001399,MP:0005384,MP:0005307,MP:0005386,MP:0001522,MP:0001395,MP:0001394,MP:0001967,MP:0004404,MP:0001961,MP:0004522,MP:0004532,MP:0004577,MP:0011967,MP:0004813,MP:0002730,MP:0004527,MP:0004515,MP:0003631
220	MGI:1923038	MP:0005386,MP:0005390,MP:0005384
221	MGI:1891258	
222	MGI:1351339	MP:0005386,MP:0005376,MP:0003631,MP:0005384
223	MGI:2685139	MP:0005386,MP:0005387,MP:0005397
224	MGI:2384993	MP:0005391,MP:0005389,MP:0005397,MP:0005376,MP:0005387
225	MGI:2673872	
226	MGI:2443535	MP:0005376
227	MGI:1917483	MP:0005387,MP:0005378,MP:0005384,MP:0005385,MP:0010768,MP:0005367,MP:0005397,MP:0005380,MP:0005376
228	MGI:1916824	
229	MGI:1923452	MP:0005382,MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005378,MP:0005385
230	MGI:1914532	MP:0005391,MP:0010768
