MGI:95489	MP:0001943,MP:0001183,MP:0004634,MP:0008844,MP:0003652,MP:0003120,MP:0000324,MP:0005375,MP:0002754,MP:0001175,MP:0010900,MP:0008672,MP:0002083,MP:0000276,MP:0006278,MP:0030799,MP:0010919,MP:0000274,MP:0003140,MP:0008054,MP:0002270,MP:0009871,MP:0010386,MP:0002060,MP:0004127,MP:0004509,MP:0010522,MP:0009545,MP:0008568,MP:0006120,MP:0002267,MP:0001614,MP:0005508,MP:0000272,MP:0005501,MP:0001625,MP:0010903,MP:0001914,MP:0005385,MP:0003921,MP:0010918,MP:0001198,MP:0010869,MP:0005390,MP:0001243,MP:0005244,MP:0011085,MP:0002964,MP:0005378,MP:0001861,MP:0004389,MP:0000150,MP:0003141,MP:0004707,MP:0004794,MP:0002543,MP:0008419,MP:0005397,MP:0000538,MP:0003725,MP:0001958,MP:0010996,MP:0010895,MP:0005275,MP:0001954,MP:0002433,MP:0008097,MP:0010922,MP:0010915,MP:0004355,MP:0000266,MP:0010771,MP:0004695,MP:0008438,MP:0009872,MP:0006432,MP:0010937,MP:0009866,MP:0003924,MP:0010139,MP:0006027,MP:0000286,MP:0002280,MP:0010661,MP:0002764,MP:0001176,MP:0010876,MP:0005371,MP:0005386,MP:0001200,MP:0005387,MP:0002279,MP:0004686,MP:0008711,MP:0009932,MP:0001191,MP:0001762,MP:0010908,MP:0003923,MP:0009862,MP:0009873,MP:0001245,MP:0000160,MP:0005617,MP:0010904,MP:0005014,MP:0001179,MP:0031157,MP:0001182,MP:0003920,MP:0003705,MP:0004007,MP:0005376,MP:0003631,MP:0010483,MP:0000439,MP:0004593,MP:0000063,MP:0005388,MP:0004044,MP:0000163,MP:0003211,MP:0004359,MP:0001505,MP:0001267,MP:0010768,MP:0004671,MP:0005369,MP:0004735,MP:0005379,MP:0005503,MP:0005243
MGI:2156389	nan
MGI:2685418	MP:0010412,MP:0011252,MP:0000644,MP:0005388,MP:0005385,MP:0005384,MP:0000531,MP:0011649,MP:0005386,MP:0005370,MP:0005397,MP:0000694,MP:0004133,MP:0000598,MP:0005387,MP:0005378,MP:0010768,MP:0000284,MP:0005391,MP:0005376
MGI:3642817	nan
MGI:1932515	MP:0005386
MGI:893584	MP:0005387,MP:0005378,MP:0005385,MP:0010768,MP:0005391,MP:0005390,MP:0005375,MP:0005397,MP:0005376
MGI:2441683	MP:0005376,MP:0005397
MGI:1353593	MP:0005386,MP:0005397,MP:0010768,MP:0005376,MP:0005387,MP:0005378,MP:0005385
MGI:1931352	nan
MGI:1921643	nan
